Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.20     0.00     1581     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_deallocate(Sheep*, unsigned long)
  0.00      0.20     0.00     1436     0.00     0.00  std::_Vector_base<Wolf, std::allocator<Wolf> >::_M_deallocate(Wolf*, unsigned long)
  0.00      0.20     0.00     1430     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::deallocate(Sheep*, unsigned long)
  0.00      0.20     0.00     1430     0.00     0.00  __gnu_cxx::new_allocator<Sheep>::allocate(unsigned long, void const*)
  0.00      0.20     0.00     1430     0.00     0.00  std::_Vector_base<Sheep, std::allocator<Sheep> >::_M_allocate(unsigned long)
  0.00      0.20     0.00     1430     0.00     0.00  std::allocator_traits<std::allocator<Sheep> >::deallocate(std::allocator<Sheep>&, Sheep*, unsigned long)
  0.00      0.20     0.00     1430     0.00     0.00  std::allocator_traits<std::allocator<Sheep> >::allocate(std::allocator<Sheep>&, unsigned long)
  0.00      0.20     0.00     1379     0.00     0.00  __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >::difference_type __gnu_cxx::operator-<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > const&, __gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > > const&)
  0.00      0.20     0.00     1379     0.00     0.00  std::vector<Sheep, std::allocator<Sheep> >::_M_check_len(unsigned long, char const*) const
  0.00      0.20     0.00     1325     0.00     0.01  void std::vector<Sheep, std::allocator<Sheep> >::_M_realloc_insert<Sheep const&>(__gnu_cxx::__normal_iterator<Sheep*, std::vector<Sheep, std::allocator<Sheep> > >, Sheep const&)
  0.00      0.20     0.00     1285     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::deallocate(Wolf*, unsigned long)
  0.00      0.20     0.00     1285     0.00     0.00  __gnu_cxx::new_allocator<Wolf>::allocate(unsigned long, void const*)
